date,longitude,latitude,rainfall_mm
2024-07-10,77.125,8.375,0.0
2024-07-10,77.375,8.375,0.0
2024-07-10,77.625,8.375,0.0
2024-07-10,77.875,8.375,0.0
2024-07-10,76.875,8.625,0.75
2024-07-10,77.125,8.625,0.0
2024-07-10,77.375,8.625,0.0
2024-07-10,77.625,8.625,0.0
2024-07-10,77.875,8.625,0.0
2024-07-10,78.125,8.625,0.0
2024-07-10,76.625,8.875,0.0
2024-07-10,76.875,8.875,0.7
2024-07-10,77.125,8.875,0.59
2024-07-10,77.375,8.875,0.0
2024-07-10,77.625,8.875,0.0
2024-07-10,77.875,8.875,0.0
2024-07-10,78.125,8.875,0.0
2024-07-10,76.625,9.125,2.15
2024-07-10,76.875,9.125,2.6
2024-07-10,77.125,9.125,1.93
2024-07-10,77.375,9.125,0.61
2024-07-10,77.625,9.125,0.79
2024-07-10,77.875,9.125,21.25
2024-07-10,78.125,9.125,10.47
2024-07-10,76.375,9.375,7.2
2024-07-10,76.625,9.375,7.2
2024-07-10,76.875,9.375,8.21
2024-07-10,77.125,9.375,2.36
2024-07-10,77.375,9.375,3.61
2024-07-10,77.625,9.375,1.45
2024-07-10,77.875,9.375,22.04
2024-07-10,78.125,9.375,4.54
2024-07-10,78.375,9.375,0.2
2024-07-10,78.625,9.375,0.0
2024-07-10,78.875,9.375,0.0
2024-07-10,79.375,9.375,0.47
2024-07-10,76.375,9.625,8.77
2024-07-10,76.625,9.625,7.16
2024-07-10,76.875,9.625,21.02
2024-07-10,77.125,9.625,14.37
2024-07-10,77.375,9.625,2.58
2024-07-10,77.625,9.625,3.1
2024-07-10,77.875,9.625,35.44
2024-07-10,78.125,9.625,16.67
2024-07-10,78.375,9.625,0.26
2024-07-10,78.625,9.625,0.0
2024-07-10,78.875,9.625,1.96
2024-07-10,79.125,9.625,3.52
2024-07-10,79.375,9.625,2.07
2024-07-10,76.375,9.875,12.0
2024-07-10,76.625,9.875,8.48
2024-07-10,76.875,9.875,17.54
2024-07-10,77.125,9.875,6.72
2024-07-10,77.375,9.875,3.78
2024-07-10,77.625,9.875,42.56
2024-07-10,77.875,9.875,49.09
2024-07-10,78.125,9.875,35.73
2024-07-10,78.375,9.875,16.69
2024-07-10,78.625,9.875,6.66
2024-07-10,78.875,9.875,3.94
2024-07-10,76.125,10.125,5.79
2024-07-10,76.375,10.125,12.62
2024-07-10,76.625,10.125,18.31
2024-07-10,76.875,10.125,16.97
2024-07-10,77.125,10.125,9.6
2024-07-10,77.375,10.125,5.95
2024-07-10,77.625,10.125,8.43
2024-07-10,77.875,10.125,23.39
2024-07-10,78.125,10.125,17.89
2024-07-10,78.375,10.125,13.75
2024-07-10,78.625,10.125,3.69
2024-07-10,78.875,10.125,3.7
2024-07-10,79.125,10.125,0.98
2024-07-10,76.125,10.375,4.48
2024-07-10,76.375,10.375,18.99
2024-07-10,76.625,10.375,23.13
2024-07-10,76.875,10.375,33.35
2024-07-10,77.125,10.375,25.97
2024-07-10,77.375,10.375,17.4
2024-07-10,77.625,10.375,14.69
2024-07-10,77.875,10.375,16.0
2024-07-10,78.125,10.375,42.86
2024-07-10,78.375,10.375,14.72
2024-07-10,78.625,10.375,17.82
2024-07-10,78.875,10.375,4.13
2024-07-10,79.125,10.375,7.1
2024-07-10,79.375,10.375,14.97
2024-07-10,76.125,10.625,33.57
2024-07-10,76.375,10.625,33.45
2024-07-10,76.625,10.625,23.72
2024-07-10,76.875,10.625,23.88
2024-07-10,77.125,10.625,10.69
2024-07-10,77.375,10.625,2.55
2024-07-10,77.625,10.625,15.33
2024-07-10,77.875,10.625,41.08
2024-07-10,78.125,10.625,7.64
2024-07-10,78.375,10.625,21.08
2024-07-10,78.625,10.625,76.74
2024-07-10,78.875,10.625,95.57
2024-07-10,79.125,10.625,29.66
2024-07-10,79.375,10.625,51.25
2024-07-10,79.625,10.625,0.77
2024-07-10,79.875,10.625,0.0
2024-07-10,75.875,10.875,46.89
2024-07-10,76.125,10.875,23.95
2024-07-10,76.375,10.875,38.3
2024-07-10,76.625,10.875,56.49
2024-07-10,76.875,10.875,31.67
2024-07-10,77.125,10.875,11.94
2024-07-10,77.375,10.875,1.68
2024-07-10,77.625,10.875,0.63
2024-07-10,77.875,10.875,10.9
2024-07-10,78.125,10.875,4.47
2024-07-10,78.375,10.875,0.25
2024-07-10,78.625,10.875,7.01
2024-07-10,78.875,10.875,32.21
2024-07-10,79.125,10.875,48.49
2024-07-10,79.375,10.875,23.07
2024-07-10,79.625,10.875,0.0
2024-07-10,79.875,10.875,0.0
2024-07-10,75.875,11.125,12.45
2024-07-10,76.125,11.125,6.7
2024-07-10,76.375,11.125,21.16
2024-07-10,76.625,11.125,35.04
2024-07-10,76.875,11.125,44.77
2024-07-10,77.125,11.125,10.97
2024-07-10,77.375,11.125,13.02
2024-07-10,77.625,11.125,17.68
2024-07-10,77.875,11.125,43.49
2024-07-10,78.125,11.125,12.33
2024-07-10,78.375,11.125,2.46
2024-07-10,78.625,11.125,5.55
2024-07-10,78.875,11.125,7.62
2024-07-10,79.125,11.125,6.51
2024-07-10,79.375,11.125,36.0
2024-07-10,79.625,11.125,0.0
2024-07-10,79.875,11.125,0.21
2024-07-10,75.875,11.375,5.17
2024-07-10,76.125,11.375,1.45
2024-07-10,76.375,11.375,3.81
2024-07-10,76.625,11.375,17.52
2024-07-10,76.875,11.375,9.36
2024-07-10,77.125,11.375,70.14
2024-07-10,77.375,11.375,10.63
2024-07-10,77.625,11.375,16.65
2024-07-10,77.875,11.375,27.74
2024-07-10,78.125,11.375,17.96
2024-07-10,78.375,11.375,24.32
2024-07-10,78.625,11.375,26.95
2024-07-10,78.875,11.375,4.07
2024-07-10,79.125,11.375,16.6
2024-07-10,79.375,11.375,43.76
2024-07-10,79.625,11.375,0.12
2024-07-10,79.875,11.375,2.45
2024-07-10,75.625,11.625,6.0
2024-07-10,75.875,11.625,8.47
2024-07-10,76.125,11.625,8.27
2024-07-10,76.375,11.625,8.2
2024-07-10,76.625,11.625,8.4
2024-07-10,76.875,11.625,7.26
2024-07-10,77.125,11.625,17.08
2024-07-10,77.375,11.625,9.08
2024-07-10,77.625,11.625,18.57
2024-07-10,77.875,11.625,18.7
2024-07-10,78.125,11.625,27.43
2024-07-10,78.375,11.625,40.0
2024-07-10,78.625,11.625,39.95
2024-07-10,78.875,11.625,6.47
2024-07-10,79.125,11.625,30.93
2024-07-10,79.375,11.625,59.34
2024-07-10,79.625,11.625,13.31
2024-07-10,79.875,11.625,12.34
2024-07-10,75.375,11.875,10.93
2024-07-10,75.625,11.875,6.73
2024-07-10,75.875,11.875,11.81
2024-07-10,76.125,11.875,5.02
2024-07-10,76.375,11.875,4.25
2024-07-10,76.625,11.875,5.45
2024-07-10,76.875,11.875,7.9
2024-07-10,77.125,11.875,9.83
2024-07-10,77.375,11.875,8.34
2024-07-10,77.625,11.875,18.2
2024-07-10,77.875,11.875,19.79
2024-07-10,78.125,11.875,63.68
2024-07-10,78.375,11.875,18.31
2024-07-10,78.625,11.875,4.17
2024-07-10,78.875,11.875,0.17
2024-07-10,79.125,11.875,1.98
2024-07-10,79.375,11.875,53.3
2024-07-10,79.625,11.875,21.13
2024-07-10,79.875,11.875,14.86
2024-07-10,75.125,12.125,17.38
2024-07-10,75.375,12.125,9.56
2024-07-10,75.625,12.125,7.99
2024-07-10,75.875,12.125,6.33
2024-07-10,76.125,12.125,2.77
