date,longitude,latitude,rainfall_mm
2024-05-23,77.125,8.375,24.08
2024-05-23,77.375,8.375,21.88
2024-05-23,77.625,8.375,8.52
2024-05-23,77.875,8.375,6.32
2024-05-23,76.875,8.625,87.55
2024-05-23,77.125,8.625,31.69
2024-05-23,77.375,8.625,18.81
2024-05-23,77.625,8.625,4.26
2024-05-23,77.875,8.625,2.76
2024-05-23,78.125,8.625,3.28
2024-05-23,76.625,8.875,35.48
2024-05-23,76.875,8.875,49.52
2024-05-23,77.125,8.875,26.5
2024-05-23,77.375,8.875,10.89
2024-05-23,77.625,8.875,3.06
2024-05-23,77.875,8.875,0.21
2024-05-23,78.125,8.875,1.52
2024-05-23,76.625,9.125,55.29
2024-05-23,76.875,9.125,47.2
2024-05-23,77.125,9.125,34.19
2024-05-23,77.375,9.125,13.93
2024-05-23,77.625,9.125,0.0
2024-05-23,77.875,9.125,0.0
2024-05-23,78.125,9.125,0.0
2024-05-23,76.375,9.375,35.38
2024-05-23,76.625,9.375,49.08
2024-05-23,76.875,9.375,50.01
2024-05-23,77.125,9.375,18.1
2024-05-23,77.375,9.375,0.18
2024-05-23,77.625,9.375,0.0
2024-05-23,77.875,9.375,0.0
2024-05-23,78.125,9.375,1.97
2024-05-23,78.375,9.375,0.74
2024-05-23,78.625,9.375,0.0
2024-05-23,78.875,9.375,0.0
2024-05-23,79.375,9.375,0.0
2024-05-23,76.375,9.625,32.21
2024-05-23,76.625,9.625,52.86
2024-05-23,76.875,9.625,80.29
2024-05-23,77.125,9.625,53.04
2024-05-23,77.375,9.625,1.55
2024-05-23,77.625,9.625,0.13
2024-05-23,77.875,9.625,0.0
2024-05-23,78.125,9.625,0.82
2024-05-23,78.375,9.625,0.0
2024-05-23,78.625,9.625,0.0
2024-05-23,78.875,9.625,0.0
2024-05-23,79.125,9.625,0.0
2024-05-23,79.375,9.625,0.0
2024-05-23,76.375,9.875,56.8
2024-05-23,76.625,9.875,79.02
2024-05-23,76.875,9.875,88.26
2024-05-23,77.125,9.875,53.96
2024-05-23,77.375,9.875,7.55
2024-05-23,77.625,9.875,1.73
2024-05-23,77.875,9.875,0.76
2024-05-23,78.125,9.875,0.42
2024-05-23,78.375,9.875,0.0
2024-05-23,78.625,9.875,0.0
2024-05-23,78.875,9.875,0.0
2024-05-23,76.125,10.125,69.45
2024-05-23,76.375,10.125,55.39
2024-05-23,76.625,10.125,83.45
2024-05-23,76.875,10.125,87.05
2024-05-23,77.125,10.125,64.74
2024-05-23,77.375,10.125,4.05
2024-05-23,77.625,10.125,0.17
2024-05-23,77.875,10.125,0.0
2024-05-23,78.125,10.125,0.0
2024-05-23,78.375,10.125,0.0
2024-05-23,78.625,10.125,0.0
2024-05-23,78.875,10.125,0.0
2024-05-23,79.125,10.125,0.0
2024-05-23,76.125,10.375,87.69
2024-05-23,76.375,10.375,84.32
2024-05-23,76.625,10.375,51.3
2024-05-23,76.875,10.375,44.23
2024-05-23,77.125,10.375,91.53
2024-05-23,77.375,10.375,8.38
2024-05-23,77.625,10.375,1.47
2024-05-23,77.875,10.375,0.0
2024-05-23,78.125,10.375,0.38
2024-05-23,78.375,10.375,2.99
2024-05-23,78.625,10.375,2.68
2024-05-23,78.875,10.375,0.68
2024-05-23,79.125,10.375,3.95
2024-05-23,79.375,10.375,11.38
2024-05-23,76.125,10.625,63.28
2024-05-23,76.375,10.625,51.16
2024-05-23,76.625,10.625,56.36
2024-05-23,76.875,10.625,32.15
2024-05-23,77.125,10.625,18.19
2024-05-23,77.375,10.625,2.38
2024-05-23,77.625,10.625,0.24
2024-05-23,77.875,10.625,1.07
2024-05-23,78.125,10.625,0.0
2024-05-23,78.375,10.625,9.77
2024-05-23,78.625,10.625,2.71
2024-05-23,78.875,10.625,1.14
2024-05-23,79.125,10.625,6.14
2024-05-23,79.375,10.625,13.91
2024-05-23,79.625,10.625,25.95
2024-05-23,79.875,10.625,35.1
2024-05-23,75.875,10.875,81.39
