date,longitude,latitude,rainfall_mm
2024-06-01,77.125,8.375,0.0
2024-06-01,77.375,8.375,0.0
2024-06-01,77.625,8.375,0.0
2024-06-01,77.875,8.375,0.0
2024-06-01,76.875,8.625,0.0
2024-06-01,77.125,8.625,0.0
2024-06-01,77.375,8.625,0.0
2024-06-01,77.625,8.625,0.0
2024-06-01,77.875,8.625,0.0
2024-06-01,78.125,8.625,0.0
2024-06-01,76.625,8.875,0.0
2024-06-01,76.875,8.875,0.0
2024-06-01,77.125,8.875,0.0
2024-06-01,77.375,8.875,0.0
2024-06-01,77.625,8.875,0.0
2024-06-01,77.875,8.875,0.0
2024-06-01,78.125,8.875,0.0
2024-06-01,76.625,9.125,0.0
2024-06-01,76.875,9.125,0.0
2024-06-01,77.125,9.125,0.0
2024-06-01,77.375,9.125,0.0
2024-06-01,77.625,9.125,0.0
2024-06-01,77.875,9.125,0.0
2024-06-01,78.125,9.125,0.0
2024-06-01,76.375,9.375,0.31
2024-06-01,76.625,9.375,3.27
2024-06-01,76.875,9.375,0.19
2024-06-01,77.125,9.375,0.0
2024-06-01,77.375,9.375,0.0
2024-06-01,77.625,9.375,0.0
2024-06-01,77.875,9.375,0.0
2024-06-01,78.125,9.375,0.0
2024-06-01,78.375,9.375,0.0
2024-06-01,78.625,9.375,0.0
2024-06-01,78.875,9.375,0.0
2024-06-01,79.375,9.375,0.0
2024-06-01,76.375,9.625,1.02
2024-06-01,76.625,9.625,2.33
2024-06-01,76.875,9.625,0.64
2024-06-01,77.125,9.625,0.0
2024-06-01,77.375,9.625,0.0
2024-06-01,77.625,9.625,0.0
2024-06-01,77.875,9.625,0.0
2024-06-01,78.125,9.625,0.0
2024-06-01,78.375,9.625,0.0
2024-06-01,78.625,9.625,0.0
2024-06-01,78.875,9.625,0.0
2024-06-01,79.125,9.625,0.0
2024-06-01,79.375,9.625,0.0
2024-06-01,76.375,9.875,0.0
2024-06-01,76.625,9.875,1.94
2024-06-01,76.875,9.875,0.32
2024-06-01,77.125,9.875,0.0
2024-06-01,77.375,9.875,0.0
2024-06-01,77.625,9.875,0.0
2024-06-01,77.875,9.875,0.0
2024-06-01,78.125,9.875,0.0
2024-06-01,78.375,9.875,0.0
2024-06-01,78.625,9.875,0.0
2024-06-01,78.875,9.875,0.0
2024-06-01,76.125,10.125,3.3
2024-06-01,76.375,10.125,0.67
2024-06-01,76.625,10.125,0.78
2024-06-01,76.875,10.125,0.86
2024-06-01,77.125,10.125,1.73
2024-06-01,77.375,10.125,0.0
2024-06-01,77.625,10.125,0.0
2024-06-01,77.875,10.125,0.0
2024-06-01,78.125,10.125,0.0
2024-06-01,78.375,10.125,0.0
2024-06-01,78.625,10.125,0.0
2024-06-01,78.875,10.125,0.0
2024-06-01,79.125,10.125,0.0
2024-06-01,76.125,10.375,5.07
2024-06-01,76.375,10.375,2.0
2024-06-01,76.625,10.375,0.16
2024-06-01,76.875,10.375,0.18
2024-06-01,77.125,10.375,1.29
2024-06-01,77.375,10.375,0.57
2024-06-01,77.625,10.375,0.2
2024-06-01,77.875,10.375,0.0
2024-06-01,78.125,10.375,0.0
2024-06-01,78.375,10.375,0.0
2024-06-01,78.625,10.375,0.0
2024-06-01,78.875,10.375,0.0
2024-06-01,79.125,10.375,0.0
2024-06-01,79.375,10.375,0.0
2024-06-01,76.125,10.625,0.47
2024-06-01,76.375,10.625,0.65
2024-06-01,76.625,10.625,0.0
2024-06-01,76.875,10.625,0.0
2024-06-01,77.125,10.625,0.0
2024-06-01,77.375,10.625,0.0
2024-06-01,77.625,10.625,0.89
2024-06-01,77.875,10.625,6.68
2024-06-01,78.125,10.625,0.0
2024-06-01,78.375,10.625,0.0
2024-06-01,78.625,10.625,0.0
2024-06-01,78.875,10.625,0.0
2024-06-01,79.125,10.625,0.0
2024-06-01,79.375,10.625,0.0
2024-06-01,79.625,10.625,0.0
2024-06-01,79.875,10.625,0.0
2024-06-01,75.875,10.875,0.0
2024-06-01,76.125,10.875,0.3
2024-06-01,76.375,10.875,0.0
2024-06-01,76.625,10.875,0.0
2024-06-01,76.875,10.875,0.0
2024-06-01,77.125,10.875,0.0
2024-06-01,77.375,10.875,0.0
2024-06-01,77.625,10.875,0.23
2024-06-01,77.875,10.875,0.15
2024-06-01,78.125,10.875,0.0
2024-06-01,78.375,10.875,0.0
2024-06-01,78.625,10.875,0.0
2024-06-01,78.875,10.875,0.0
2024-06-01,79.125,10.875,0.0
2024-06-01,79.375,10.875,0.0
2024-06-01,79.625,10.875,0.0
2024-06-01,79.875,10.875,0.0
2024-06-01,75.875,11.125,1.17
2024-06-01,76.125,11.125,0.0
2024-06-01,76.375,11.125,0.0
2024-06-01,76.625,11.125,0.0
2024-06-01,76.875,11.125,0.0
2024-06-01,77.125,11.125,0.0
2024-06-01,77.375,11.125,0.0
2024-06-01,77.625,11.125,0.46
2024-06-01,77.875,11.125,4.51
2024-06-01,78.125,11.125,0.0
2024-06-01,78.375,11.125,0.0
2024-06-01,78.625,11.125,0.0
2024-06-01,78.875,11.125,0.0
2024-06-01,79.125,11.125,0.0
2024-06-01,79.375,11.125,0.0
2024-06-01,79.625,11.125,0.0
2024-06-01,79.875,11.125,0.0
2024-06-01,75.875,11.375,0.45
2024-06-01,76.125,11.375,0.13
2024-06-01,76.375,11.375,0.0
2024-06-01,76.625,11.375,0.0
2024-06-01,76.875,11.375,0.0
2024-06-01,77.125,11.375,4.74
2024-06-01,77.375,11.375,0.0
2024-06-01,77.625,11.375,0.0
2024-06-01,77.875,11.375,0.0
2024-06-01,78.125,11.375,0.0
2024-06-01,78.375,11.375,0.0
2024-06-01,78.625,11.375,0.0
2024-06-01,78.875,11.375,0.0
2024-06-01,79.125,11.375,0.0
2024-06-01,79.375,11.375,0.0
2024-06-01,79.625,11.375,0.0
2024-06-01,79.875,11.375,0.0
2024-06-01,75.625,11.625,0.0
2024-06-01,75.875,11.625,0.0
2024-06-01,76.125,11.625,0.0
2024-06-01,76.375,11.625,0.0
2024-06-01,76.625,11.625,0.0
2024-06-01,76.875,11.625,0.0
2024-06-01,77.125,11.625,0.44
2024-06-01,77.375,11.625,0.0
2024-06-01,77.625,11.625,0.0
2024-06-01,77.875,11.625,0.0
2024-06-01,78.125,11.625,0.0
2024-06-01,78.375,11.625,0.94
2024-06-01,78.625,11.625,0.0
2024-06-01,78.875,11.625,0.0
2024-06-01,79.125,11.625,0.0
2024-06-01,79.375,11.625,0.0
2024-06-01,79.625,11.625,0.0
2024-06-01,79.875,11.625,0.0
2024-06-01,75.375,11.875,0.0
2024-06-01,75.625,11.875,0.0
2024-06-01,75.875,11.875,0.0
2024-06-01,76.125,11.875,0.0
2024-06-01,76.375,11.875,0.0
2024-06-01,76.625,11.875,0.0
2024-06-01,76.875,11.875,14.49
2024-06-01,77.125,11.875,14.01
2024-06-01,77.375,11.875,2.32
2024-06-01,77.625,11.875,0.0
2024-06-01,77.875,11.875,0.0
2024-06-01,78.125,11.875,0.0
2024-06-01,78.375,11.875,3.28
2024-06-01,78.625,11.875,0.0
2024-06-01,78.875,11.875,0.0
2024-06-01,79.125,11.875,0.0
2024-06-01,79.375,11.875,0.0
2024-06-01,79.625,11.875,0.0
2024-06-01,79.875,11.875,0.0
2024-06-01,75.125,12.125,0.0
2024-06-01,75.375,12.125,0.0
2024-06-01,75.625,12.125,0.0
2024-06-01,75.875,12.125,0.0
2024-06-01,76.125,12.125,0.0
2024-06-01,76.375,12.125,0.0
2024-06-01,76.625,12.125,0.0
2024-06-01,76.875,12.125,0.0
2024-06-01,77.125,12.125,0.0
2024-06-01,77.375,12.125,0.0
2024-06-01,77.625,12.125,0.0
2024-06-01,77.875,12.125,0.0
2024-06-01,78.125,12.125,0.0
2024-06-01,78.375,12.125,0.0
2024-06-01,78.625,12.125,0.0
2024-06-01,78.875,12.125,0.0
2024-06-01,79.125,12.125,0.0
2024-06-01,79.375,12.125,0.0
2024-06-01,79.625,12.125,0.0
2024-06-01,79.875,12.125,0.0
2024-06-01,75.125,12.375,0.0
2024-06-01,75.375,12.375,0.0
2024-06-01,75.625,12.375,0.0
2024-06-01,75.875,12.375,0.0
2024-06-01,76.125,12.375,0.0
2024-06-01,76.375,12.375,0.0
2024-06-01,76.625,12.375,2.55
2024-06-01,76.875,12.375,0.0
2024-06-01,77.125,12.375,0.0
2024-06-01,77.375,12.375,0.0
2024-06-01,77.625,12.375,0.0
2024-06-01,77.875,12.375,0.0
2024-06-01,78.125,12.375,0.0
2024-06-01,78.375,12.375,0.0
2024-06-01,78.625,12.375,0.0
2024-06-01,78.875,12.375,0.0
2024-06-01,79.125,12.375,0.0
2024-06-01,79.375,12.375,0.0
2024-06-01,79.625,12.375,0.0
2024-06-01,79.875,12.375,0.0
2024-06-01,75.125,12.625,0.0
2024-06-01,75.375,12.625,0.0
2024-06-01,75.625,12.625,0.0
2024-06-01,75.875,12.625,0.0
2024-06-01,76.125,12.625,1.23
2024-06-01,76.375,12.625,12.82
2024-06-01,76.625,12.625,40.91
2024-06-01,76.875,12.625,0.0
2024-06-01,77.125,12.625,0.0
2024-06-01,77.375,12.625,0.0
2024-06-01,77.625,12.625,0.0
2024-06-01,77.875,12.625,0.0
2024-06-01,78.125,12.625,0.0
2024-06-01,78.375,12.625,0.0
2024-06-01,78.625,12.625,0.0
2024-06-01,78.875,12.625,0.0
2024-06-01,79.125,12.625,0.0
2024-06-01,79.375,12.625,0.0
2024-06-01,79.625,12.625,0.0
2024-06-01,79.875,12.625,0.0
2024-06-01,80.125,12.625,0.0
2024-06-01,74.875,12.875,1.22
2024-06-01,75.125,12.875,0.0
2024-06-01,75.375,12.875,2.11
2024-06-01,75.625,12.875,2.78
2024-06-01,75.875,12.875,0.0
2024-06-01,76.125,12.875,0.81
2024-06-01,76.375,12.875,8.38
2024-06-01,76.625,12.875,0.0
2024-06-01,76.875,12.875,0.0
2024-06-01,77.125,12.875,0.0
2024-06-01,77.375,12.875,0.0
2024-06-01,77.625,12.875,0.2
2024-06-01,77.875,12.875,0.0
2024-06-01,78.125,12.875,0.18
2024-06-01,78.375,12.875,0.0
2024-06-01,78.625,12.875,0.0
2024-06-01,78.875,12.875,0.94
2024-06-01,79.125,12.875,0.0
2024-06-01,79.375,12.875,0.0
2024-06-01,79.625,12.875,0.0
2024-06-01,79.875,12.875,0.0
2024-06-01,80.125,12.875,0.0
2024-06-01,74.875,13.125,2.47
