date,longitude,latitude,rainfall_mm
2024-08-03,77.125,8.375,0.0
2024-08-03,77.375,8.375,0.0
2024-08-03,77.625,8.375,0.0
2024-08-03,77.875,8.375,0.0
2024-08-03,76.875,8.625,3.81
2024-08-03,77.125,8.625,0.0
2024-08-03,77.375,8.625,0.0
2024-08-03,77.625,8.625,0.0
2024-08-03,77.875,8.625,0.0
2024-08-03,78.125,8.625,0.0
2024-08-03,76.625,8.875,0.0
2024-08-03,76.875,8.875,0.76
2024-08-03,77.125,8.875,0.0
2024-08-03,77.375,8.875,0.0
2024-08-03,77.625,8.875,0.0
2024-08-03,77.875,8.875,0.0
2024-08-03,78.125,8.875,0.0
2024-08-03,76.625,9.125,0.0
2024-08-03,76.875,9.125,0.0
2024-08-03,77.125,9.125,0.0
2024-08-03,77.375,9.125,0.0
2024-08-03,77.625,9.125,0.0
2024-08-03,77.875,9.125,0.0
2024-08-03,78.125,9.125,0.0
2024-08-03,76.375,9.375,1.85
2024-08-03,76.625,9.375,4.61
2024-08-03,76.875,9.375,0.22
2024-08-03,77.125,9.375,0.0
2024-08-03,77.375,9.375,0.56
2024-08-03,77.625,9.375,0.17
2024-08-03,77.875,9.375,0.0
2024-08-03,78.125,9.375,0.0
2024-08-03,78.375,9.375,0.0
2024-08-03,78.625,9.375,0.0
2024-08-03,78.875,9.375,0.0
2024-08-03,79.375,9.375,0.0
2024-08-03,76.375,9.625,2.6
2024-08-03,76.625,9.625,3.51
2024-08-03,76.875,9.625,3.05
2024-08-03,77.125,9.625,5.68
2024-08-03,77.375,9.625,1.13
2024-08-03,77.625,9.625,0.0
2024-08-03,77.875,9.625,0.0
2024-08-03,78.125,9.625,0.0
2024-08-03,78.375,9.625,0.0
2024-08-03,78.625,9.625,0.0
2024-08-03,78.875,9.625,0.0
2024-08-03,79.125,9.625,0.0
2024-08-03,79.375,9.625,0.0
2024-08-03,76.375,9.875,7.0
2024-08-03,76.625,9.875,8.24
2024-08-03,76.875,9.875,8.62
2024-08-03,77.125,9.875,3.03
2024-08-03,77.375,9.875,0.0
2024-08-03,77.625,9.875,0.0
2024-08-03,77.875,9.875,0.0
2024-08-03,78.125,9.875,0.0
2024-08-03,78.375,9.875,0.0
2024-08-03,78.625,9.875,0.0
2024-08-03,78.875,9.875,0.0
2024-08-03,76.125,10.125,12.22
2024-08-03,76.375,10.125,21.53
2024-08-03,76.625,10.125,9.56
2024-08-03,76.875,10.125,8.04
2024-08-03,77.125,10.125,5.71
2024-08-03,77.375,10.125,0.0
2024-08-03,77.625,10.125,0.0
2024-08-03,77.875,10.125,0.0
2024-08-03,78.125,10.125,0.0
2024-08-03,78.375,10.125,0.0
2024-08-03,78.625,10.125,1.84
2024-08-03,78.875,10.125,1.24
2024-08-03,79.125,10.125,0.0
2024-08-03,76.125,10.375,10.48
2024-08-03,76.375,10.375,18.95
2024-08-03,76.625,10.375,9.76
2024-08-03,76.875,10.375,5.52
2024-08-03,77.125,10.375,11.89
2024-08-03,77.375,10.375,0.28
2024-08-03,77.625,10.375,0.0
2024-08-03,77.875,10.375,0.0
2024-08-03,78.125,10.375,0.0
2024-08-03,78.375,10.375,0.0
2024-08-03,78.625,10.375,6.37
2024-08-03,78.875,10.375,0.0
2024-08-03,79.125,10.375,0.0
2024-08-03,79.375,10.375,0.0
2024-08-03,76.125,10.625,4.27
2024-08-03,76.375,10.625,5.52
2024-08-03,76.625,10.625,10.86
2024-08-03,76.875,10.625,2.63
2024-08-03,77.125,10.625,1.31
2024-08-03,77.375,10.625,0.0
